Problem:    
Rows:       6374
Columns:    1664
Non-zeros:  34364
Status:     OPTIMAL
Objective:  Z = 80000 (MINimum)

   No.   Row name   St   Activity     Lower bound   Upper bound    Marginal
------ ------------ -- ------------- ------------- ------------- -------------
   527 c_cpmy_3_1_Mar_15
                    B              1                           1 
   528 c_cpmy_3_1_Mar_16
                    B              1                           1 
   529 c_cpmy_3_1_Mar_17
                    B            0.5                           1 
   530 c_cpmy_3_1_Mar_18
                    B              1                           1 
   531 c_cpmy_3_1_Mar_26
                    B              1                           1 
   532 c_cpmy_3_1_Mar_27
                    B              1                           1 
   533 c_cpmy_3_1_Mar_28
                    B              1                           1 
   534 c_cpmy_3_1_Mar_29
                    B            0.5                           1 
   535 c_cpmy_4_1_Apr_1
                    B           -0.5                           0 
   536 c_cpmy_4_1_Apr_2
                    NU             1                           1         < eps
   537 c_cpmy_4_1_Apr_3
                    B              1                           1 
   538 c_cpmy_4_1_Apr_4
                    B            0.5                           1 
   539 c_cpmy_4_1_Apr_5
                    B              1                           1 
   540 c_cpmy_4_1_Apr_13
                    B              1                           1 
   541 c_cpmy_4_1_Apr_14
                    B              1                           1 
   542 c_cpmy_4_1_Apr_15
                    B              1                           1 
   543 c_cpmy_4_1_Apr_16
                    B            0.5                           1 
   544 c_cpmy_5_1_Apr_1
                    B           -0.5                           0 
   545 c_cpmy_5_1_Apr_2
                    B              1                           1 
   546 c_cpmy_5_1_Apr_3
                    B              1                           1 
   547 c_cpmy_5_1_Apr_4
                    B            0.5                           1 
   548 c_cpmy_5_1_Apr_5
                    B              1                           1 
   549 c_cpmy_5_1_Apr_13
                    B              1                           1 
   550 c_cpmy_5_1_Apr_14
                    B              1                           1 
   551 c_cpmy_6_1_Apr_1
                    NU             0                           0         < eps
   552 c_cpmy_6_1_Apr_2
                    B            0.5                           1 
   553 c_cpmy_6_1_Apr_3
                    B              1                           1 
   554 c_cpmy_6_1_Apr_4
                    B            0.5                           1 
   555 c_cpmy_6_1_Apr_5
                    B              1                           1 
   556 c_cpmy_6_1_Apr_13
                    B              1                           1 
   557 c_cpmy_6_1_Apr_14
                    B              1                           1 
   558 c_cpmy_6_1_Apr_15
                    B              1                           1 
   559 c_cpmy_7_1_Apr_1
                    B           -0.5                           0 
   560 c_cpmy_7_1_Apr_2
                    B              1                           1 
   561 c_cpmy_7_1_Apr_3
                    B              1                           1 
   562 c_cpmy_7_1_Apr_4
                    B            0.5                           1 
   563 c_cpmy_7_1_Apr_5
                    B              1                           1 
